,Model,Score,Value
18,NuSVM,test_recall,0.5978593272171254
19,NuSVM,test_recall,0.7859327217125383
20,NuSVM,test_f1_macro,0.7513031390070484
21,NuSVM,test_f1_macro,0.6680232597496666
22,NuSVM,test_f1_macro,0.705447512624906
23,NuSVM,test_f1_macro,0.7349235670274725
24,NuSVM,test_f1_macro,0.7913993947602227
25,NuSVM,test_f1_micro,0.7747866053841101
26,NuSVM,test_f1_micro,0.6828627708470125
27,NuSVM,test_f1_micro,0.7163493105712411
28,NuSVM,test_f1_micro,0.7496714848883048
29,NuSVM,test_f1_micro,0.7943495400788436
30,NuSVM,test_f1_weighted,0.761991126909429
31,NuSVM,test_f1_weighted,0.6779316289606274
32,NuSVM,test_f1_weighted,0.7134471254524215
33,NuSVM,test_f1_weighted,0.7437148049723699
34,NuSVM,test_f1_weighted,0.7948874118772662
0,Random_Forest,test_f1,0.6975476839237057
1,Random_Forest,test_f1,0.6846689895470384
2,Random_Forest,test_f1,0.6860564585115484
3,Random_Forest,test_f1,0.6933101650738488
4,Random_Forest,test_f1,0.784
5,Random_Forest,test_accuracy,0.7813525935653316
6,Random_Forest,test_accuracy,0.7623112278397899
7,Random_Forest,test_accuracy,0.7590282337491793
8,Random_Forest,test_accuracy,0.7680683311432326
9,Random_Forest,test_accuracy,0.8226018396846255
10,Random_Forest,test_precision,0.8609865470852018
11,Random_Forest,test_precision,0.7955465587044535
12,Random_Forest,test_precision,0.7786407766990291
13,Random_Forest,test_precision,0.8028169014084507
14,Random_Forest,test_precision,0.8221476510067114
15,Random_Forest,test_recall,0.5862595419847328
16,Random_Forest,test_recall,0.6009174311926605
17,Random_Forest,test_recall,0.6131498470948012
18,Random_Forest,test_recall,0.6100917431192661
19,Random_Forest,test_recall,0.7492354740061162
20,Random_Forest,test_f1_macro,0.7631697288513131
21,Random_Forest,test_f1_macro,0.7469709542044992
22,Random_Forest,test_f1_macro,0.7452658424683475
23,Random_Forest,test_f1_macro,0.7534168363668241
24,Random_Forest,test_f1_macro,0.8167491638795987
25,Random_Forest,test_f1_micro,0.7813525935653316
26,Random_Forest,test_f1_micro,0.7623112278397898
27,Random_Forest,test_f1_micro,0.7590282337491793
28,Random_Forest,test_f1_micro,0.7680683311432326
29,Random_Forest,test_f1_micro,0.8226018396846255
30,Random_Forest,test_f1_weighted,0.7723473359226068
31,Random_Forest,test_f1_weighted,0.7557660444220659
32,Random_Forest,test_f1_weighted,0.7536243569468188
33,Random_Forest,test_f1_weighted,0.7618681028955341
34,Random_Forest,test_f1_weighted,0.8213538426379654
0,XGBoost,test_f1,0.7345207803223069
1,XGBoost,test_f1,0.7011764705882353
2,XGBoost,test_f1,0.7180685358255451
3,XGBoost,test_f1,0.7113654946852004
4,XGBoost,test_f1,0.7912912912912913
5,XGBoost,test_accuracy,0.7944845699277742
6,XGBoost,test_accuracy,0.7498358502954695
7,XGBoost,test_accuracy,0.7623112278397899
